ticker,market,sector,name
AAPL,US,Technology,Apple
MSFT,US,Technology,Microsoft
NVDA,US,Technology,Nvidia
AMZN,US,Consumer Discretionary,Amazon
META,US,Communication Services,Meta Platforms
